,0
0,1000000.0
1,999811.5570000003
2,995488.1550000004
3,984959.8410000005
4,978381.9880000005
5,980011.7440000005
6,986963.1460000005
7,961726.1530500005
8,973482.2293500006
9,950231.0193500007
10,954947.0093500006
11,939001.4293500007
12,944999.2493500006
13,960860.2893500007
14,947908.7393500006
15,964966.5293500007
16,953150.8993500007
17,962146.4093500007
18,983652.0093500006
19,982668.3777100006
20,982668.3777100006
21,982668.3777100006
22,982668.3777100006
23,982668.3777100006
24,982668.3777100006
25,982668.3777100006
26,982668.3777100006
27,980203.1277100006
28,985644.2077100006
29,985372.7937100007
30,987537.0197100008
31,985420.9437100008
32,984318.855710001
33,993816.088710001
34,986004.912710001
35,988709.270710001
36,1001085.1547100011
37,998355.3620100011
38,991598.8720100011
39,1010358.7820100011
40,1010252.172010001
41,1014227.382010001
42,1017981.9820100011
43,1023643.8420100011
44,1016291.572010001
45,1019936.692010001
46,1021324.3720100011
47,1035234.3320100011
48,1036840.8520100011
49,1036528.2420100011
50,1039766.312010001
51,1048198.422010001
52,1057809.6220100012
53,1057872.8720100012
54,1054606.212010001
55,1050936.722010001
56,1050339.862010001
57,1051825.232010001
58,1057693.192010001
59,1061851.462010001
60,1058646.3120100012
61,1065183.8520100012
62,1061363.482010001
