,0
0,1000000.0
1,999843.2604550598
2,999863.5883774117
3,998317.8521389033
4,997833.65675834
5,996372.794116892
6,993785.8546428903
7,994642.889148033
8,991213.6195745316
9,991592.9233434994
10,992980.1669949135
11,985674.8695093113
12,991189.1331532181
13,989633.8778158054
14,989979.1445890364
15,989185.5677009878
16,991206.7698392225
17,995660.6202138825
18,988696.1923091605
19,987496.2037322156
20,986844.4011018474
21,990288.9736989415
22,988566.8820638265
23,992560.2123412217
24,999872.2200550628
25,999203.2648570238
26,983435.6112106413
27,987251.4039949614
28,987636.5034842682
29,984401.6342105246
30,970069.0039222299
31,969213.7021357873
32,968293.0463529057
33,961878.4205214722
34,944886.4797875029
35,956267.586655885
36,947065.0226533392
37,938052.0880320091
38,929325.4659530602
39,907769.1589229035
40,907310.3015017731
41,918355.4883115769
42,896556.4875216406
43,903192.9048124095
44,900923.7610421856
45,932886.8167497115
46,933015.7630097413
47,951804.3735096001
48,955225.7614427023
49,951981.8795469279
50,970385.5318022106
51,981145.7742388935
52,975129.1688477738
53,957206.4302128167
54,999238.778951679
55,988561.8469544344
56,995090.7875100935
57,1007522.542733563
58,995641.3143524069
59,971529.3339168739
60,981222.4433661187
61,995940.8141513932
62,1017370.9487952596
63,1021097.0913020237
64,1019150.3098997173
65,1005429.4686124476
66,1006029.0920341614
67,1033067.2763495522
68,1032165.6107309384
69,1014797.5116352878
70,1025318.6451018861
71,1021589.48096212
72,1018521.7099970933
73,992431.592974639
74,1002487.3142267179
75,992572.6871411493
76,1005715.261025975
77,1015517.0937646086
78,1008801.7241784558
79,1015050.9196143425
80,1031948.898529769
81,1024090.0470366114
82,1030918.8844690782
83,1046281.4952317473
84,1046494.909883359
85,1064011.547286586
86,1059348.2610271433
87,1090671.1239863113
88,1058573.3336803562
89,1067925.6631204574
90,1049747.8496295915
91,1055141.8220397094
92,1038843.8126240713
93,1058265.4674652775
94,1050153.3549455274
95,1047017.222752116
96,1028958.4830009274
97,1021461.1842806959
98,1047653.6628335193
99,1030041.3085351434
100,1039211.9093230035
101,1048206.9026873086
102,1083966.7236229929
103,1092407.8777757348
104,1077783.8995873078
105,1095314.0980348652
106,1095113.1625608855
107,1090707.5741238394
108,1092189.1253978075
109,1086863.3508782592
110,1084021.575266992
111,1090404.3298777696
112,1062579.3168309233
113,1053314.0376409506
114,1044814.4721518833
115,1050159.6515356007
116,1042060.7380598948
117,1012904.3810009528
118,1013869.9312103695
119,1012332.7282592395
120,1030029.5454564884
121,1022550.3893949933
122,1033905.4065802258
123,1017638.7574754971
124,1021800.4842190985
125,984729.9024895395
126,987133.1933645572
127,970714.7036243291
128,968457.8653028138
129,971064.4496097836
130,961066.9823817954
131,982925.8623139344
132,982913.4488042059
133,1009281.8691200833
134,1017926.2345416383
135,1016466.1489065278
136,1034452.4391873806
137,1060924.0623624395
138,1055702.209498631
139,1091946.9247254592
140,1103575.5973338722
141,1110785.5745357508
142,1120685.980909071
143,1105709.7052801263
144,1113676.6132621006
145,1125855.2674805594
146,1140310.6110335102
147,1155893.2509830247
148,1139833.3453681096
149,1141490.8487445444
150,1155656.5046989294
151,1147682.0916195626
152,1134894.1105669276
153,1154508.6422499835
154,1159026.8891041726
155,1144778.9849170481
156,1121416.6280320105
157,1128654.2620505546
158,1135547.6651342711
159,1145972.5365027986
160,1170539.32215254
161,1184811.3839862214
162,1192815.9789126585
163,1185768.851636608
164,1200892.4980670551
165,1191626.009087459
166,1178889.664156854
167,1151864.7714014803
168,1154095.8746459412
169,1165920.5480447828
170,1178030.5961297974
171,1182089.7992895907
172,1195421.4951911164
173,1208051.1015689338
174,1206881.2194987761
175,1206313.209959676
176,1218334.1547996283
177,1236166.8513218143
178,1237116.305203953
179,1235305.7433648072
180,1229612.6320780467
181,1233364.1036163936
182,1212793.6594849254
183,1199799.0435698875
184,1191562.4735497588
185,1215406.6125179564
186,1214479.3270817648
187,1205858.0738873477
188,1177278.7245981751
189,1165777.3686670305
190,1180767.9925629199
191,1195000.7705432954
192,1195439.0398729148
193,1198804.2334367959
194,1213636.4539851272
195,1214330.9569150147
196,1206497.6335120108
197,1229260.0398040346
198,1229810.8076234825
199,1235875.8162052364
200,1256452.394832182
201,1259679.6778525182
202,1241266.9504957017
203,1262793.6702841914
204,1249673.4019663811
205,1229204.4887146873
206,1237762.5101904566
207,1217649.660798542
208,1255532.4076510868
209,1222830.3628312792
210,1233307.0847440825
211,1238175.9860828125
212,1243937.6998074143
213,1269085.4204637131
214,1276221.6865683538
215,1303791.0076848413
216,1301294.070847599
217,1309048.3149703068
218,1288669.4274491942
219,1297662.3869894152
220,1316043.5794811682
221,1315767.2765723446
222,1311383.668330646
223,1294802.4849900685
224,1290435.8660684617
225,1312429.5774457848
226,1312764.0264142668
227,1322363.6659576457
228,1303185.5319319302
229,1301215.1946558044
230,1318597.3991667712
231,1313118.9653717368
232,1296169.1123263359
233,1301376.391998673
234,1309155.8176838518
235,1297244.36436376
236,1300757.0762727864
237,1316404.7149164833
238,1323455.6790512148
239,1331522.3590865103
240,1328430.9130651716
241,1332202.5918481257
242,1313464.081104079
243,1306046.2363636552
244,1321237.5105091098
245,1328609.3978438776
246,1323002.434861888
247,1332654.3158422427
248,1330929.3010519664
249,1324412.8953506344
250,1327537.1329494321
251,1310969.2470557787
252,1345448.8151487142
253,1353947.0750676456
254,1362236.5676896484
255,1384914.4256368503
256,1381569.09101324
257,1389629.4202562831
258,1376938.9545192146
259,1386110.6429583186
260,1393845.9480345603
261,1384486.4486853124
262,1404055.9884403204
263,1384484.261121709
264,1352841.0962670357
265,1327890.6341203765
266,1331572.1352155486
